POLE TYPE,LIGHT PRESENT,SIDE OF ROAD,ELEVATION,latitude,longitude,GeoLocation
Metal,Yes,Right,23.136,30.3611818,-91.11815592,"(30.3611818, -91.11815592)"
Metal,Yes,Right,20.56,30.36095783,-91.11915501,"(30.36095783, -91.11915501)"
Metal,Yes,Right,21.322,30.36129103,-91.11988026,"(30.36129103, -91.11988026)"
Metal,Yes,Right,24.937,30.36209707,-91.1199447,"(30.36209707, -91.1199447)"
Metal,Yes,Right,26.141,30.36179668,-91.12022229,"(30.36179668, -91.12022229)"
Metal,Yes,Right,34.182,30.36108264,-91.11960914,"(30.36108264, -91.11960914)"
Metal,Yes,Right,23.769,30.32132695,-91.12136677,"(30.32132695, -91.12136677)"
Metal,Yes,Right,25.232,30.32479921,-91.1225257,"(30.32479921, -91.1225257)"
Metal,Yes,Right,29.458,30.32520183,-91.12282931,"(30.32520183, -91.12282931)"
Metal,Yes,Right,23.366,30.32753676,-91.11578497,"(30.32753676, -91.11578497)"
Metal,Yes,Right,22.703,30.33168668,-91.11794764,"(30.33168668, -91.11794764)"
Metal,Yes,Right,23.254,30.33120457,-91.11790129,"(30.33120457, -91.11790129)"
Metal,Yes,Right,23.3,30.33070138,-91.1178603,"(30.33070138, -91.1178603)"
Metal,Yes,Right,23.451,30.33024038,-91.11773804,"(30.33024038, -91.11773804)"
Metal,Yes,Right,23.681,30.32981587,-91.1173089,"(30.32981587, -91.1173089)"
Metal,Yes,Right,22.096,30.32929737,-91.11661196,"(30.32929737, -91.11661196)"
Metal,Yes,Right,23.12,30.32884822,-91.11644268,"(30.32884822, -91.11644268)"
Metal,Yes,Right,23.845,30.32838041,-91.11628203,"(30.32838041, -91.11628203)"
Metal,Yes,Right,23.723,30.32794359,-91.11610525,"(30.32794359, -91.11610525)"
Metal,Yes,Right,28.759,30.32943843,-91.12973655,"(30.32943843, -91.12973655)"
Metal,Yes,Right,27.263,30.32980302,-91.12856303,"(30.32980302, -91.12856303)"
Metal,Yes,Right,31.781,30.32863729,-91.13189356,"(30.32863729, -91.13189356)"
Metal,Yes,Right,26.545,30.33013475,-91.12744734,"(30.33013475, -91.12744734)"
Metal,Yes,Right,29.009,30.32966988,-91.12755726,"(30.32966988, -91.12755726)"
Metal,Yes,Right,27.04,30.32958314,-91.12570953,"(30.32958314, -91.12570953)"
Metal,Yes,Right,25.61,30.32975329,-91.12625112,"(30.32975329, -91.12625112)"
Metal,Yes,Right,26.108,30.32985447,-91.1267851,"(30.32985447, -91.1267851)"
Metal,Yes,Right,25.885,30.33129047,-91.1299078,"(30.33129047, -91.1299078)"
Metal,Yes,Right,25.974,30.33146911,-91.12756577,"(30.33146911, -91.12756577)"
Metal,Yes,Right,27.424,30.33132773,-91.12939878,"(30.33132773, -91.12939878)"
Metal,Yes,Right,26.925,30.33086122,-91.1307543,"(30.33086122, -91.1307543)"
Metal,Yes,Right,27.096,30.33045712,-91.13068296,"(30.33045712, -91.13068296)"
Metal,Yes,Right,26.171,30.32987342,-91.13040842,"(30.32987342, -91.13040842)"
Metal,Yes,Right,24.826,30.32981737,-91.13088159,"(30.32981737, -91.13088159)"
Metal,Yes,Right,25.82,30.33027016,-91.13164907,"(30.33027016, -91.13164907)"
Metal,Yes,Right,27.26,30.33122257,-91.13209956,"(30.33122257, -91.13209956)"
Metal,Yes,Right,25.738,30.33204429,-91.13187563,"(30.33204429, -91.13187563)"
Metal,Yes,Right,26.413,30.33210005,-91.13232541,"(30.33210005, -91.13232541)"
Metal,Yes,Right,21.036,30.33156466,-91.13236956,"(30.33156466, -91.13236956)"
Metal,Yes,Right,27.844,30.33072942,-91.13194727,"(30.33072942, -91.13194727)"
Metal,Yes,Right,27.969,30.32979382,-91.1314908,"(30.32979382, -91.1314908)"
Metal,Yes,Right,24.55,30.33121467,-91.13087041,"(30.33121467, -91.13087041)"
Metal,Yes,Right,28.267,30.33217464,-91.13029911,"(30.33217464, -91.13029911)"
Metal,Yes,Right,28.28,30.33224393,-91.12934249,"(30.33224393, -91.12934249)"
Metal,Yes,Right,27.529,30.33174485,-91.12738979,"(30.33174485, -91.12738979)"
Metal,Yes,Right,22.975,30.33236733,-91.12750548,"(30.33236733, -91.12750548)"
Metal,Yes,Right,25.177,30.33240888,-91.12806838,"(30.33240888, -91.12806838)"
Metal,Yes,Right,24.921,30.33235471,-91.12879072,"(30.33235471, -91.12879072)"
Metal,Yes,Right,25.419,30.33228263,-91.12973408,"(30.33228263, -91.12973408)"
Metal,Yes,Right,25.482,30.33220995,-91.1306872,"(30.33220995, -91.1306872)"
Metal,Yes,Right,25.911,30.33205968,-91.13112616,"(30.33205968, -91.13112616)"
Metal,Yes,Right,25.268,30.33155995,-91.13121099,"(30.33155995, -91.13121099)"
Metal,Yes,Right,25.515,30.33205448,-91.12806178,"(30.33205448, -91.12806178)"
Metal,Yes,Right,23.474,30.32993539,-91.12799629,"(30.32993539, -91.12799629)"
Metal,Yes,Right,24.468,30.32974687,-91.12906817,"(30.32974687, -91.12906817)"
Metal,Yes,Right,25.99,30.32938808,-91.13019602,"(30.32938808, -91.13019602)"
Metal,Yes,Right,28.054,30.32883207,-91.13189096,"(30.32883207, -91.13189096)"
Metal,Yes,Right,26.413,30.34254696,-91.13194685,"(30.34254696, -91.13194685)"
Metal,Yes,Right,27.096,30.34240307,-91.13237214,"(30.34240307, -91.13237214)"
Metal,Yes,Right,26.6,30.34225313,-91.13281332,"(30.34225313, -91.13281332)"
Metal,Yes,Right,26.81,30.34210327,-91.13330254,"(30.34210327, -91.13330254)"
